IAGA_code	Name	Country_code	Latitude	Longitude	Elevation	Data_embargo	Plot_embargo	Notes
PPT	Pamatai, Tahiti, France	PF	-17.567	210.426	357	0	0	 
PST	Port Stanley, Falklands Islands	UK	-51.700	302.110	135	24	0	 
QSB	Qsaybeh, Lebanon	LB	33.871	35.644	525	0	0	no longer IMO
RES	Resolute Bay, Canada	CA	74.690	265.105	30	24	24	 
SBA	Scott Base, Antarctica	NZ	-77.829	166.671	130	0	0	 
SBL	Sable Island, Canada	CA	43.932	299.990	5	24	0	 
SFS	San Fernando, Spain	ES	36.667	354.055	111	0	0	 
SHE	Saint Helena, Saint Helena	SH	-15.961	354.253	586	0	0	 
SHU	Shumagin, USA	US	55.350	199.540	80	0	0	 
SIT	Sitka, USA	US	57.060	224.670	24	0	0	 
SJG	San Juan, USA	US	18.110	293.850	424	0	0	 
SOD	Sodankyla, Finland	FI	67.370	26.630	178	0	0	 
SPG	Saint Petersburg, Russia	RU	60.542	29.716	46	0	0	 
SPT	San Pablo-Toledo, Spain	ES	39.550	355.650	922	0	0	 
STJ	St John's, Canada	CA	47.595	307.323	100	24	24	 
STT	Sao Teotonio, Portugal	PO	37.547	351.272	115	0	0	 
SUA	Surlari, Romania	RO	44.680	26.250	84	0	0	 
TAM	Tamanrasset, Algeria	DZ	22.790	5.530	1373	0	0	 
TAN	Antananarivo, Madagascar	MG	-18.917	47.552	1375	0	0	closed
TDC	Tristan da Cunha, Tristan da Cunha	SH	-37.067	347.684	41	0	0	 
THL	Qaanaaq (Thule), Greenland	GL	77.470	290.773	57	0	0	 
THY	Tihany, Hungary	HU	46.900	17.890	187	0	0	 
TIK	Tiksi, Russia	RU	71.580	129.000	40	0	0	closed
TSU	Tsumeb, South Africa	SF	-19.202	17.584	1273	0	0	 
TTB	Tatuoca, Brazil	BR	-1.205	311.487	10	0	0	 
TUC	Tucson, USA	US	32.170	249.270	946	0	0	 
UPS	Uppsala, Sweden	SE	59.903	17.353	50	0	0	 
VAL	Valentia, Eire	EI	51.933	349.750	14	24	24	 
VIC	Victoria, Canada	CA	48.520	236.580	197	24	24	 
VNA	Neumayer Station, Antarctica	AQ	-70.683	351.717	40	0	0	 
VOS	Vostok, Antarctica	AQ	-78.464	106.835	3488	0	0	 
VSS	Vassouras, Brazil	BR	-22.400	316.350	457	0	0	 
WIC	Conrad, Austria	AU	47.931	15.866	1088	0	0	 
WMQ	Urumqi, China	CH	43.810	87.710	908	0	0	 
WNG	Wingst, Germany	GE	53.725	9.053	66	0	0	 
YAK	Yakutsk, Russia	RS	61.960	129.660	100	0	0	 
YKC	Yellowknife, Canada	CA	62.480	245.518	198	24	24	 
